key,en,zh-Hant,zh-Hans,ja
restart.message,Please restart the app to take changes.,請重新啟動應用以進行更改。,请重新启动应用以进行更改。,変更を適用するにはアプリを再起動してください。
restart.confirm.btn,Confirm,確認,确认,確認する
language.name,English,繁體中文,简体中文,日本語
,Text without key.,沒有鍵的文本。,没有键的文本。,キーのないテキスト。
button,Button,按鍵,按键,ボタン
switchlanguage,Select language,選擇語言,选择语言,言語を選択する
description,"This is the description for “LanguageKit”, switch to different language and see this gets update.",這是”LanguageKit”的描述，切換到不同的語言，並看到這得到更新。,这是”LanguageKit”的描述，切换到不同的语言，并看到这得到更新。,これは”LanguageKit”の記述で、別の言語に切り替えると、これが更新されるのを見てください。
,"This is page 2, there should be nothing you need to set at this page.",這是第2頁，在這個頁面上你不需要設置任何東西。,这是第2页，在这个页面上你不需要设置任何东西。,これは2ページ目です。このページで設定する必要はありません。
cancel,Cancel,取消,取消,キャンセル
,First,第一,第一,最初
,Second,第二,第二,第二
,Third,第三,第三,三番
,Title,標題,标题,タイトル
,Button,按鍵,按键,ボタン
,Segment 1,第1部分,第1部分,セグメント1
,Segment 2,第2部分,第2部分,セグメント2
